,after_found,after_path,before_found,before_path,combo_after,combo_before,dorn_after,dorn_before,scalabrino_after,scalabrino_before,filename,url,input_sha
41,True,TeamBliss-LP-android_frameworks_base/5ceeaf7d214b2c0d46328bf49151ae22a0f4e69c/WifiService.java/after/WifiService.java,True,TeamBliss-LP-android_frameworks_base/5ceeaf7d214b2c0d46328bf49151ae22a0f4e69c/WifiService.java/before/WifiService.java,0.7652178868413606,0.7664624349947305,0.8331931114228978,0.8334549419455567,0.7274497955878998,0.7285160402509759,WifiService.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,5ceeaf7d214b2c0d46328bf49151ae22a0f4e69c
42,True,TeamBliss-LP-android_frameworks_base/5ceeaf7d214b2c0d46328bf49151ae22a0f4e69c/WifiConfigStore.java/after/WifiConfigStore.java,True,TeamBliss-LP-android_frameworks_base/5ceeaf7d214b2c0d46328bf49151ae22a0f4e69c/WifiConfigStore.java/before/WifiConfigStore.java,0.7097320476226248,0.6896404168475079,0.7583536777046233,0.7808771699043981,0.667448322640525,0.6710853470965873,WifiConfigStore.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,5ceeaf7d214b2c0d46328bf49151ae22a0f4e69c
43,True,TeamBliss-LP-android_frameworks_base/5ceeaf7d214b2c0d46328bf49151ae22a0f4e69c/WifiStateMachine.java/after/WifiStateMachine.java,True,TeamBliss-LP-android_frameworks_base/5ceeaf7d214b2c0d46328bf49151ae22a0f4e69c/WifiStateMachine.java/before/WifiStateMachine.java,0.66432621559074,0.6649797143163596,0.6933247771055364,0.6943707216448998,0.672164446383249,0.6743776641669683,WifiStateMachine.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,5ceeaf7d214b2c0d46328bf49151ae22a0f4e69c
44,True,TeamBliss-LP-android_frameworks_base/55e124c4487f99dd25c1dd96c75f02bbdde370bb/MifareClassic.java/after/MifareClassic.java,True,TeamBliss-LP-android_frameworks_base/55e124c4487f99dd25c1dd96c75f02bbdde370bb/MifareClassic.java/before/MifareClassic.java,0.8423293874315594,0.8423274852659391,0.9255260091436944,0.9252600739507572,0.8871836740037671,0.883568058843198,MifareClassic.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,55e124c4487f99dd25c1dd96c75f02bbdde370bb
45,True,TeamBliss-LP-android_frameworks_base/55e124c4487f99dd25c1dd96c75f02bbdde370bb/MifareUltralight.java/after/MifareUltralight.java,True,TeamBliss-LP-android_frameworks_base/55e124c4487f99dd25c1dd96c75f02bbdde370bb/MifareUltralight.java/before/MifareUltralight.java,0.8875681843076434,0.8812528351942698,0.978771652494158,0.9704271058241526,0.879832421030317,0.8901223341623942,MifareUltralight.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,55e124c4487f99dd25c1dd96c75f02bbdde370bb
46,True,TeamBliss-LP-android_frameworks_base/489ca5568a56003d021c6bafc21f869a48064660/View.java/after/View.java,True,TeamBliss-LP-android_frameworks_base/489ca5568a56003d021c6bafc21f869a48064660/View.java/before/View.java,0.8256451595723145,0.8257231341845003,0.9050632082776668,0.9051793531510386,0.8412566929159359,0.8414376634987235,View.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,489ca5568a56003d021c6bafc21f869a48064660
47,True,TeamBliss-LP-android_frameworks_base/489ca5568a56003d021c6bafc21f869a48064660/AbsSeekBar.java/after/AbsSeekBar.java,True,TeamBliss-LP-android_frameworks_base/489ca5568a56003d021c6bafc21f869a48064660/AbsSeekBar.java/before/AbsSeekBar.java,0.7831501015885309,0.7859648588630889,0.8378036028959535,0.8426195171144274,0.7564416802064939,0.7623812801308102,AbsSeekBar.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,489ca5568a56003d021c6bafc21f869a48064660
48,True,TeamBliss-LP-android_frameworks_base/489ca5568a56003d021c6bafc21f869a48064660/CheckedTextView.java/after/CheckedTextView.java,True,TeamBliss-LP-android_frameworks_base/489ca5568a56003d021c6bafc21f869a48064660/CheckedTextView.java/before/CheckedTextView.java,0.8302704894116947,0.8198879179747208,0.8623790442943573,0.8553470178790714,0.7289449492735522,0.7099404095307641,CheckedTextView.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,489ca5568a56003d021c6bafc21f869a48064660
49,True,TeamBliss-LP-android_frameworks_base/489ca5568a56003d021c6bafc21f869a48064660/CompoundButton.java/after/CompoundButton.java,True,TeamBliss-LP-android_frameworks_base/489ca5568a56003d021c6bafc21f869a48064660/CompoundButton.java/before/CompoundButton.java,0.8401531915406923,0.8395296217579591,0.9090232341676144,0.9099904087029004,0.7906813488618748,0.7957258059790258,CompoundButton.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,489ca5568a56003d021c6bafc21f869a48064660
50,True,TeamBliss-LP-android_frameworks_base/489ca5568a56003d021c6bafc21f869a48064660/FrameLayout.java/after/FrameLayout.java,True,TeamBliss-LP-android_frameworks_base/489ca5568a56003d021c6bafc21f869a48064660/FrameLayout.java/before/FrameLayout.java,0.8043728901115671,0.803726955930787,0.8522527810604185,0.8524425024754071,0.7769035144963048,0.7776357059113004,FrameLayout.java,https://api.github.com/repos/TeamBliss-LP/android_frameworks_base,489ca5568a56003d021c6bafc21f869a48064660
